iter	RMSE
0	14.14522824
1	13.36899529
2	12.68852399
3	11.99834794
4	11.42648001
5	10.87196111
6	10.4216325
7	9.939092041
8	9.53453716
9	9.124892438
10	8.819588196
11	8.516574859
12	8.217364689
13	7.977075551
14	7.750156635
15	7.570922032
16	7.394449967
17	7.217944252
18	7.06406552
19	6.922069841
20	6.794695098
21	6.688838881
22	6.594681291
23	6.492701396
24	6.395911952
25	6.316254063
26	6.253731974
27	6.192621935
28	6.132570051
29	6.078204866
30	6.022393462
31	5.975750116
32	5.935737001
33	5.894267675
34	5.863525006
35	5.833461311
36	5.806880349
37	5.779186938
38	5.752000272
39	5.719092953
40	5.699603448
41	5.664772458
42	5.6361013
43	5.616379828
44	5.595269287
45	5.573092183
46	5.556935857
47	5.54241329
48	5.52043011
49	5.505250587
50	5.48553808
51	5.478474271
52	5.467753795
53	5.454266758
54	5.439733134
55	5.429076645
56	5.422353998
57	5.408016399
58	5.401457932
59	5.392713443
60	5.382189907
61	5.372367709
62	5.367782487
63	5.357320113
64	5.348630505
65	5.342690787
66	5.337130871
67	5.333289715
68	5.322698787
69	5.319060587
70	5.31500939
71	5.308281178
72	5.301244193
73	5.296449558
74	5.29053382
75	5.284581632
76	5.280420773
77	5.276112949
78	5.272546472
79	5.268846318
80	5.265319584
81	5.261823856
82	5.258298819
83	5.249217612
84	5.245746384
85	5.232483579
86	5.227206554
87	5.222898802
88	5.218130945
89	5.215335035
90	5.21138734
91	5.209041943
92	5.205857484
93	5.203748577
94	5.201842679
95	5.194551364
96	5.192112764
97	5.188650623
98	5.185766514
99	5.183620529
